land;normalbelopp;år
Albanien;351;2026
Algeriet;334;2026
Amerikanska Samoa;889;2026
Angola;540;2026
Anguilla;1037;2026
Antigua och Barbuda;742;2026
Argentina;388;2026
Armenien;469;2026
Aruba;864;2026
Australien;727;2026
Azerbajdzjan;437;2026
Bahamas;1146;2026
Bahrain;881;2026
Bangladesh;399;2026
Barbados;930;2026
Belarus;300;2026
Belgien;897;2026
Belize;591;2026
Benin;562;2026
Bermuda;1217;2026
Bolivia;406;2026
Bonaire;722;2026
Bosnien-Hercegovina;355;2026
Botswana;358;2026
Brasilien;376;2026
Brunei Darussalam;458;2026
Bulgarien;459;2026
Burkina Faso;421;2026
Burundi;426;2026
Burma;367;2026
Caymanöarna;887;2026
Centralafrikanska republiken;459;2026
Chile;479;2026
Colombia;378;2026
Cooköarna;557;2026
Costa Rica;677;2026
Curacao;645;2026
Cypern;601;2026
Danmark;1226;2026
Djibouti;619;2026
Dominikanska republiken;457;2026
Ecuador;573;2026
Egypten;300;2026
Ekvatorialguinea;652;2026
El Salvador;462;2026
Elfenbenskusten;755;2026
Eritrea;399;2026
Estland;683;2026
Eswatini;300;2026
Etiopien;300;2026
Fiji;415;2026
Filippinerna;466;2026
Finland;968;2026
Frankrike;850;2026
Franska Guyana;735;2026
Franska Polynesien;926;2026
Förenade Arabemiraten;883;2026
Gabon;650;2026
Gambia;304;2026
Georgien;331;2026
Ghana;580;2026
Gibraltar;654;2026
Grekland;695;2026
Grenada;603;2026
Grönland;1226;2026
Guadeloupe;749;2026
Guam;765;2026
Guatemala;561;2026
Guinea;566;2026
Guyana;716;2026
Haiti;870;2026
Honduras;423;2026
Hong Kong;895;2026
Indien;300;2026
Indonesien;418;2026
Irak;590;2026
Iran;470;2026
Irland;1038;2026
Island;1125;2026
Israel;956;2026
Italien;802;2026
Jamaica;425;2026
Japan;386;2026
Jordanien;803;2026
Kambodja;532;2026
Kamerun;524;2026
Kanada;895;2026
Kazakstan;353;2026
Kenya;472;2026
Kina;581;2026
Kirgizistan;300;2026
Kiribati;309;2026
Kongo (Brazzaville);734;2026
Kongo (Demokratiska Rep.);990;2026
Kosovo;300;2026
Kroatien;550;2026
Kuba;587;2026
Kuwait;849;2026
Laos;300;2026
Lesotho;300;2026
Lettland;763;2026
Libanon;470;2026
Liberia;649;2026
Libyen;300;2026
Liechtenstein;1120;2026
Litauen;635;2026
Luxemburg;953;2026
Macao;590;2026
Madagaskar;300;2026
Malawi;308;2026
Malaysia;319;2026
Maldiverna;503;2026
Mali;488;2026
Malta;659;2026
Marocko;507;2026
Martinique;753;2026
Mauretanien;350;2026
Mauritius;349;2026
Mexiko;562;2026
Mikronesiska federationen;560;2026
Mocambique;403;2026
Moldavien;414;2026
Monaco;1073;2026
Mongoliet;307;2026
Montenegro;391;2026
Myanmar;367;2026
Namibia;300;2026
Nederländerna;745;2026
Nepal;300;2026
Nicaragua;469;2026
Niger;394;2026
Nigeria;470;2026
Nordmakedonien;312;2026
Norge;1054;2026
Nya Kaledonien;862;2026
Nya Zeeland;525;2026
Oman;822;2026
Pakistan;300;2026
Panama;673;2026
Papua Nya Guinea;507;2026
Paraguay;349;2026
Peru;482;2026
Polen;597;2026
Portugal;616;2026
Puerto Rico;701;2026
Qatar;837;2026
Réunion;751;2026
Rumänien;414;2026
Rwanda;300;2026
Ryssland;661;2026
Saint Lucia;706;2026
Saint Vincent och Grenadinerna;441;2026
Salomonöarna;648;2026
Samoa, Självständiga staten;537;2026
San Marino;802;2026
Saudiarabien;1016;2026
Schweiz;1332;2026
Senegal;626;2026
Serbien;533;2026
Seychellerna;846;2026
Sierra Leone;345;2026
Singapore;845;2026
Sint Maarten;724;2026
Slovakien;737;2026
Slovenien;574;2026
Spanien;635;2026
Sri Lanka;424;2026
Storbritannien och Nordirland;901;2026
Sudan;470;2026
Surinam;424;2026
Sverige;300;2026
Swaziland;300;2026
Sydafrika;349;2026
Sydkorea;517;2026
Tadzjikistan;300;2026
Taiwan;554;2026
Tanzania;331;2026
Tchad;580;2026
Thailand;521;2026
Tjeckien;695;2026
Togo;533;2026
Tonga;438;2026
Trinidad och Tobago;801;2026
Tunisien;300;2026
Turkiet;366;2026
Turkmenistan;1454;2026
Tyskland;760;2026
Uganda;446;2026
Ukraina;300;2026
Ungern;679;2026
Uruguay;595;2026
USA;1049;2026
Uzbekistan;324;2026
Vanuatu;603;2026
Venezuela;300;2026
Vietnam;328;2026
Zambia;384;2026
Zimbabwe;470;2026
Österrike;730;2026
Östtimor;451;2026
Övriga länder och områden;470;2026
