	Target	Max allowed	Audi Q6 e-tron [2025-09-10]	Nio ET5T [2025-11-13]	VW ID.7 Tourer [2025-11-14]	DC OTA [2026-04-21]	CX1E-EU V4R21_TC1 [2025-09-18]	Geely Starshine 7 [2026-03-02]	P155-G [2026-06-09]	CC 0913 [2025-09-15]	CC 0918 [2025-09-23]	CC 0918 [2025-10-01]	CC 0930 [2025-10-02]	CC 1014 [2025-10-17]	CC 1021 [2025-10-21]	CC 1028 [2025-11-03]	CC 1104 [2025-11-10]	CC 1111 [2025-11-14]	CC 1202 [2025-12-11]	CC 1210 [2025-12-19]	CC 0109 [2026-01-19]	CC 0129 [2026-02-02]	CC 0206 [2026-02-09]	CC 0212 [2026-02-16]	CC 0306 [2026-03-09]	CC 0313 [2026-03-16]	CC 0320 [2026-03-24]	CC 0408 [2026-04-08]	CC 0409 ML [2026-04-09]	CC 0409 ML [2026-04-10]	CC 0410 TO [2026-04-15]	CC 0417 ML [2026-04-20]	CC 0425 ML [2026-04-27]	CC 0429 ML ED [2026-04-29]	CC 0430 ML TO [2026-05-04]	CC 0506 ML TO [2026-05-07]	CC 0510 ML [2026-05-11]	CC 0514 ML [2026-05-15]	CX1E-A1-M OKTB [2026-05-22]	CC 0521 ED [2026-05-22]	CC 0525 TO [2026-05-26]	CC 0527 ML TO [2026-06-01]	CC 0528 ML TO [2026-06-08]	CC 0615 ML TO [2026-06-15]	CX1E-A1 104 [2026-06-16]	Lync&Co 08 [2026-06-17]	P155-G [2026-06-22]	CC 0622 ML [2026-06-23]
Capability — ACC			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Capability — AEB			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Capability — APA			1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Capability — ALCA			1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0
Capability — DMS			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Capability — iACC			1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Capability — LCC			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Capability — LKA			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Capability — TSI			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Capability — LCC+			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACC — Cut-in performance target	4	7	7		6										12				62		28											15															15	
ACC — Cut-out performance	4	7																		12	12			112																								
ACC — Cut-out performance ego	4	7				14																				31		14	58	15	28		13		14											34	15	
ACC — Cut-out performance target	4	7																								16				29	14			14				13										
ACC — False brake	2	5		12		29				331	284	61	309	36	85	44	37	38	28	36	73	187	49	42	25	78	68	56	14	29	14	29	26		29	88	44	13	28		28	42					15	
ACC — False acceleration	2	5																																7					28									
ACC — Longitudinal jerk	4	7			6		30.5			0	112	156	128	97	495	22	50	26			73	13	74	42			27	225	58	203	14	58	13	71	43	29	44	13		43			14					
ACC — Cancel for no reason	4	7																		12							27		14												14							
ACC — No speed adaption for road feature	4	7								22															13				14					14														
ACC — No speed adaption for stationary vehicle	4	7																																				13										
ACC — Poor control performance following	4	7		19		14						24	50					26			158	53	37			47				29	70	29		28		29			14			14						14
ACC — Poor control performance not following	4	7		19												33													14																			
ACC — Target drop	2	5	7								7	24	15	17					7																								14	14	14			
ACC — Stop distance consistency	2	5																	7																			13					14					
AEB —  False full-brake	1	1											28																																			
ALCA — Available outside ODD	4	7											207																81	41																	14	
ALCA — Cancel for no reason	2	5		6				20			15	16	48	32		11									28							6.9					13						13			48	54	13
ALCA — No function	2	5								1000					1000																																	
ALCA — Not available within ODD	4	7			12							16	16			11																13	13			13												13
ALCA — Poor lane change maneuver	4	7			19							16	32			11				16			16				27	27		14	27	39		13	27					14								13
ALCA — Lane change not smooth (<0.3m/s2 / <2m/s3)	4	7				14																											40															
DMS — Unnecessary DMS warning	2	5								132	89	124	91																																			
iACC — False brake Road feature	4	7	54															7	55							28					7																	
iACC — No brake for Road feature	4	7	14							77																7																						
iACC — Too much brake for road feature	4	7		19		7				209	162	255	242	377	713	770	487	529	406				21	7	46	7	88			27				34									48		14			
iACC — Too much brake for road feature curve	4	7						70												290		40			33	62			63	82		27.6	49	7	56	34	90	51	48	42	69	55		35	69			62
iACC — Too much brake for road feature exit ramp	4	7																		35		27											7										7					
iACC — Too much brake for road feature junction	4	7																		48		35							14															7				
iACC — Too much brake for road feature roundabout	4	7																																														7
iACC — Not enough brake for road feature	4	7		37																						7		27																				
iACC — Too early brake for road feature	4	7													20	17											7		7	14					35	7	7			21	14		14	14				
iACC — Did not adapt speed to speed sign	4	7																																												49	56	
LCC — Available outside ODD	4	7									37										159			14																			13	13				
LCC — Cancel for no reason	2	5		6		14	7		24	88	90	47	48	189	249	35	63	65	63	33		141	31	27	14	94	27	27	257	313	66	131	30	13	14	52		50					14	13	27			26
LCC — False brake	4	7				27	35	85		88	111	174	143	95	78	34	63	17		16	270	70	109	55	69	78	27		122	177	27	118	15		27	13	53	38	27		13				67		41	
LCC — False acceleration	4	7																																13							13							
LCC — False take over request	4	7					14				12					11			373		16	113	125	110	14			13		27																32	14	
LCC — Lateral deviation	4	7	7	50	31	54		7	209	66	110	32	31							16	95	14	328	55	14		80	280	338	340	186	445	120	253	135	13	159	100	161	54	27	41	14	54	94	96	95	
LCC — Lateral jerk	4	7		19		27				22	5								16			42			28		13	53					15	13		13		50			13	14						
LCC — Longitudinal jerk	4	7				14	30.5	13		0	112	165	139	63	575	34		49			318	70	31	27	14	16	80	107	216	286	66	118	211	107	108	196	186	75	40	54	27	14	7	27	40			13
LCC — Poor long control following	4	7																																		13			27				7					
LCC — Not available within ODD	2	5								22										49															14					14								
LCC — Poor Lane Centering Performance	4	7	14	37	31	7	7	7	74	200	270	442	350	221	218	170	172		233	181		239	234	341	512	360	468	133	149	177	120	197	120	67	175	143	40	25	40	122	80		35	27	54	80	176	92
LCC — Wrong lane at lane split	4	7																											27							13												
LCC — Wrong DIM message	2	5								66	24														28		94																					
LKA — ELKA false positive	2	5													14		76	49	7													13.8																
LKA — Road edge False positive	2	5																		14	55																											
LKA — LDP False positive	2	5																														6.9																
TSI — No Function	2	5								1000	1000	1000	1000																																			
TSI — Double dash	2	5												27			124		34	110		110	83		7						102	14					83		28									
TSI — Wrong speed detected	3	6	7	6	19		27	26	111	1000	1000	1000	1000	102	88	34	28	42	34	35		7	14	7	7	28	11	21	21	43	14	7	7	34	21	14		6		7	14	28	7	14	21	33	28	7
